Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %,Variance of Average Speed,Standard Deviation of Average Speed,Standard Deviation of Flow
5,2,500.0,40.0,27.34001699393972,20.356559755154123,30.994247982431357,0.005,0.1367000849696986,0.10178279877577062,0.15497123991215678,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.901410454794079,0.6894582030105376,0.0068945820301053755
10,2,500.0,40.0,23.5741255609553,17.003390366870164,27.730646885670616,0.01,0.235741255609553,0.17003390366870164,0.2773064688567062,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.8445300592672953,0.6790673860647586,0.013581347721295175
15,2,500.0,40.0,18.20336048659775,10.853115871575657,26.23548458672516,0.015,0.2730504072989662,0.16279673807363484,0.3935322688008774,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,3.099918430755612,0.8803292609523455,0.026409877828570367
20,2,500.0,40.0,15.042258823247922,8.832198494635977,19.171167069223067,0.02,0.3008451764649584,0.17664396989271955,0.3834233413844613,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.371855644957885,0.5856312075354858,0.023425248301419423
25,2,500.0,40.0,11.822406464383572,8.815282825632295,15.294230185011711,0.025,0.29556016160958937,0.2203820706408074,0.3823557546252928,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.5763754057489924,0.3795969592044279,0.018979847960221393
30,2,500.0,40.0,9.843594392677755,7.387545600269894,11.967266630733462,0.03,0.29530783178033265,0.2216263680080968,0.35901799892200387,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.26731050374401033,0.2585103981196938,0.015510623887181626
35,2,500.0,40.0,8.794531900581516,6.691359905170519,10.580542359887456,0.035,0.307808616520353,0.2341975966809682,0.370318982596061,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.2431347988152665,0.24654350468794878,0.017258045328156422
40,2,500.0,40.0,7.74383413591484,6.261236786238291,9.55973400959501,0.04,0.3097533654365936,0.2504494714495316,0.3823893603838004,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.12870678525503565,0.17937863951362468,0.014350291161089976
45,2,500.0,40.0,6.991886220984869,5.660133732579286,7.969776453522837,0.045,0.3146348799443191,0.25470601796606784,0.35863994040852765,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.08613313563551851,0.14674223628144567,0.013206801265330111
50,2,500.0,40.0,6.375446149582288,5.290915523726524,8.40232585250937,0.05,0.3187723074791144,0.26454577618632624,0.42011629262546846,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.10456875168244079,0.16168545983053081,0.016168545983053083
55,2,500.0,40.0,6.13556422617357,4.805221154756788,7.572284930697591,0.055,0.3374560324395464,0.26428716351162335,0.4164756711883675,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.10814234896542632,0.1644250201196782,0.0180867522131646
60,2,500.0,40.0,5.578880518897322,4.544394435812348,6.7687554595851385,0.06,0.3347328311338393,0.2726636661487408,0.4061253275751083,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.07858817505372626,0.14016791274550522,0.016820149529460628
65,2,500.0,40.0,5.373099521639864,4.633350448256632,6.368566500093794,0.065,0.34925146890659114,0.3011677791366811,0.41395682250609667,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.03888623740856552,0.09859796829621481,0.012817735878507937
70,2,500.0,40.0,5.154553181956102,4.1232893139988125,6.282498602063636,0.07,0.36081872273692717,0.2886302519799169,0.4397749021444545,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.07120051329513574,0.13341712155410915,0.018678397017575288
75,2,500.0,40.0,4.9420726572151255,4.049618576489579,6.476123733034238,0.075,0.37065544929113436,0.30372139323671843,0.48570927997756785,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06207005635656513,0.12456931439620787,0.01868539715943119
80,2,500.0,40.0,4.988678556075769,4.314085841395299,6.02813691647128,0.08,0.3990942844860615,0.3451268673116239,0.4822509533177024,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.060633945936644076,0.12311980540985686,0.019699168865577092
90,2,500.0,40.0,4.647959263333596,3.643603725746432,5.404174316246524,0.09,0.4183163337000237,0.32792433531717885,0.48637568846218715,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.04145631307967664,0.10180411715603235,0.01832474108808583
95,2,500.0,40.0,4.819470707845682,3.7618107201533504,6.305880264426344,0.095,0.45784971724533985,0.3573720184145683,0.5990586251205027,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06474831846167592,0.12722845442517558,0.02417340634078336
100,2,500.0,40.0,4.903034608292924,3.945598574898958,5.95450252842179,0.1,0.4903034608292924,0.39455985748989586,0.595450252842179,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.07540929069310201,0.1373037605940766,0.02746075211881532
